PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,ECC,CCRR,SCHOOLDISTRICT,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAP_AMOUNT_PAID_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
1520114,IMAGINATION IN EDUCATION @ SUNRISE,School-Age Child Care Center,7070 Grand Valley DR,Widefield,CO,80911,El Paso,Fountain,Widefield School District 3,Alliance for Kids,Alliance for Kids,-104.686163,38.728925, , , ,50, , , , , ,   , , , ,20180630
1520168,ST. PETER'S EARLY CHILDHOOD EDUCATION CENTER,Child Care Center,124 First ST,Monument,CO,80132,El Paso,Monument,Lewis-Palmer School District 38,Alliance for Kids,Alliance for Kids,-104.872364,39.089824, , ,Level 1,85, , , , , ,   , , , ,20180630
1520251,PRIMROSE SCHOOL OF HIGHLANDS RANCH,Child Care Center,9055 S Ridgeline BLVD,Highlands Ranch,CO,80129,Douglas,Sedalia,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.997085,39.551958,3/14/2016 0:00,6/30/2022 0:00,Level 4,176,2,2,3/31/2021 0:00,2,1,610,3/31/2021 0:00,2,1,20180630
1520353,FOOTHILLS PARK & RECREATION DIST - THE RIDGE,Child Care Center,6613 S Ward ST,Littleton,CO,80127,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.134862,39.595889,11/30/2017 0:00,11/30/2020 0:00,Level 4,50,1,1,10/31/2019 0:00,1,1,528,10/31/2019 0:00,2,1,20180630
1520508,PSD EARLY CHILDHOOD,Child Care Center,5844 S Timberline RD,Fort Collins,CO,80528,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.03702,40.503476,1/1/2015 0:00,12/31/2020 0:00,Level 4,32, , , , , ,   , , , ,20180630
1520582,BULLPUP PRESCHOOL,Preschool Program,601 N Colorado,Haxtun,CO,80731,Phillips,Haxtun,Haxtun School District RE-2J,"Early Childhood Council of Logan, Phillips, and Sedgwick Counties","ECC Logan, Phillips, Sedgwick",-102.629014,40.64766,11/30/2016 0:00,11/30/2019 0:00,Level 5,32, , ,12/31/2020 0:00,0,1,   ,12/31/2020 0:00,0,1,20180630
1520765,MARY VASQUEZ,Large Family Child Care Home,1735 Harlow AVE,Pueblo,CO,81006,Pueblo,St. Charles Mesa,Pueblo County School District 70,Pueblo Early Childhood Council,Childrens First,-104.548587,38.221985, , ,Level 1,12, , , , , ,   , , , ,20180630
1520836,KARA APPLEGATE,Three under Two Family Child Care Home,4130 S DeFrame ST,Morrison,CO,80465,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.153916,39.637361, , ,Level 1,6, , , , , ,   , , , ,20180630
1520841,STARS EARLY LEARNING CENTER,Child Care Center,5650 Bowen CT,Commerce City,CO,80022,Adams,Commerce City,Adams County School District 14,Early Childhood Partnership of Adams County,Child Care Innovations,-104.908501,39.79947,4/25/2017 0:00,4/25/2020 0:00,Level 2,94,4,3,8/31/2019 0:00,7,1,124,8/31/2019 0:00,5,1,20180630
1520850,MICHELLE VILLAFUERTE,Large Family Child Care Home,2234 42nd AVE,Greeley,CO,80634,Weld,Greeley,Greeley School District 6,Promises for Children,Promises for Children,-104.746236,40.402201,3/14/2016 0:00,3/14/2019 0:00,Level 2,8,1,1,3/31/2020 0:00,1,1,168,3/31/2020 0:00,1,1,20180630
1520853,EDNA ANDERSON,Large Family Child Care Home,6151 Monaco ST,Commerce City,CO,80022,Adams,Commerce City,Adams County School District 14,Early Childhood Partnership of Adams County,Child Care Innovations,-104.913124,39.808449,1/31/2018 0:00,1/31/2021 0:00,Level 2,12,4,2,7/31/2019 0:00,6,1,2288,7/31/2019 0:00,2,1,20180630
1520953,YMCA OF METRO DENVER @ FAIRMOUNT ELEMENTARY,School-Age Child Care Center,15975 W 50th AVE,Golden,CO,80403,Jefferson,Golden,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.177785,39.788318, , , ,78, , , , , ,   , , , ,20180630
