PROVIDERID,ZIP,SERVICETYPEBYAGE,COORDINATES
1553343,80219,School-Age Facility,"[39.721718, -105.04629399999999]"
1553344,80211,School-Age Facility,"[39.773644, -105.00393100000001]"
1553360,80260,Preschool Facility,"[39.903146, -104.971919]"
1553363,80260,Preschool Facility,"[39.855268, -104.99254199999999]"
1553377,80524,Preschool Facility,"[40.588992, -105.037419]"
1553378,80013,FCC/DC/CCC,"[39.655806, -104.768976]"
1553441,81501,Preschool Facility,"[39.067448999999996, -108.576528]"
1553444,81507,Preschool Facility,"[39.057113, -108.64668999999999]"
1553445,81526,Preschool Facility,"[39.104413, -108.35333999999999]"
1553447,81504,Preschool Facility,"[39.070868, -108.46150300000001]"
1553480,80916,School-Age Facility,"[38.785269, -104.737303]"
1553482,80433,School-Age Facility,"[39.506815, -105.298271]"
1553535,81432,FCC/DC/CCC,"[38.153178999999994, -107.76478300000001]"
1553568,80916,School-Age Facility,"[38.797383, -104.72841899999999]"
1553618,80238,FCC/DC/CCC,"[39.761223, -104.86780900000001]"
1553623,81301,FCC/DC/CCC,"[37.402053, -107.83516200000001]"
1553634,80022,School-Age Facility,"[39.890904, -104.834034]"
1553652,80109,Preschool Facility,"[39.382563, -104.904398]"
1553654,80134,Preschool Facility,"[39.498195, -104.80256800000001]"
1553656,80126,Preschool Facility,"[39.531223, -104.96177]"
1553658,80129,Preschool Facility,"[39.523993, -105.00248]"
1553705,80304,Infant/Toddler Facility,"[40.031284, -105.261789]"
1553709,80132,FCC/DC/CCC,"[39.093941, -104.84694499999999]"
1553717,80923,School-Age Facility,"[38.922514, -104.700281]"
1553728,80022,Preschool Facility,"[39.890904, -104.834034]"
1553736,80601,Preschool Facility,"[39.983131, -104.80041800000001]"
1553737,80016,FCC/DC/CCC,"[39.59001, -104.70993299999999]"
1553738,80922,Preschool Facility,"[38.878225, -104.699736]"
1553843,80501,FCC/DC/CCC,"[40.18594, -105.08707199999999]"
1553889,80112,FCC/DC/CCC,"[39.568531, -104.92086599999999]"
1553894,80420,FCC/DC/CCC,"[39.286651, -106.064596]"
1553933,80487,Infant/Toddler Facility,"[40.485121, -106.809556]"
1553948,80615,School-Age Facility,"[40.525218, -104.71553399999999]"
1553971,80021,FCC/DC/CCC,"[39.867076000000004, -105.09221399999998]"
1553975,81637,School-Age Facility,"[39.623432, -106.950988]"
1554028,80603,FCC/DC/CCC,"[39.909395, -104.814821]"
1554048,81505,FCC/DC/CCC,"[39.110525, -108.588952]"
1554053,80224,FCC/DC/CCC,"[39.688389, -104.907632]"
1554081,80611,Preschool Facility,"[40.633491, -104.324788]"
1554095,80222,Preschool Facility,"[39.657919, -104.914374]"
1554109,80211,FCC/DC/CCC,"[39.773644, -105.00393100000001]"
1554110,80238,FCC/DC/CCC,"[39.748546000000005, -104.88296299999999]"
1554115,80827,FCC/DC/CCC,"[38.89687, -104.76718199999999]"
1554188,80020,FCC/DC/CCC,"[39.893876, -105.07143799999999]"
1554238,80013,FCC/DC/CCC,"[39.649706, -104.773545]"
1554243,81416,FCC/DC/CCC,"[38.726431, -108.088394]"
1554318,80112,FCC/DC/CCC,"[39.56879, -104.902925]"
1554412,80205,FCC/DC/CCC,"[39.762609999999995, -104.96966499999999]"
1554464,80015,Infant/Toddler Facility,"[39.634826000000004, -104.750141]"
1554475,81416,FCC/DC/CCC,"[38.731453, -108.070927]"
1554478,80549,FCC/DC/CCC,"[40.686116, -104.995912]"
1554512,80528,FCC/DC/CCC,"[40.496275, -105.038175]"
1554545,81520,FCC/DC/CCC,"[39.090467, -108.44646100000001]"
1554552,80525,School-Age Facility,"[40.473276, -105.068848]"
1554676,81623,FCC/DC/CCC,"[39.399934, -107.214533]"
1554681,80205,FCC/DC/CCC,"[39.756049, -104.96106200000001]"
1554802,80526,FCC/DC/CCC,"[40.554054, -105.118994]"
1554813,81147,FCC/DC/CCC,"[37.226498, -107.157978]"
1554820,81647,Preschool Facility,"[39.573199, -107.541296]"
1554885,80222,FCC/DC/CCC,"[39.689883, -104.926177]"
1554891,80013,Preschool Facility,"[39.677239, -104.764635]"
1554934,80260,FCC/DC/CCC,"[39.873778, -104.994498]"
1555024,80237,Preschool Facility,"[39.650517, -104.92218700000001]"
1555071,80231,FCC/DC/CCC,"[39.652107, -104.792884]"
1555353,80015,FCC/DC/CCC,"[39.613766, -104.767527]"
1555376,80537,FCC/DC/CCC,"[40.401016999999996, -105.095335]"
1555408,81001,FCC/DC/CCC,"[38.299923, -104.585607]"
1555684,80235,FCC/DC/CCC,"[39.647898, -105.11757]"
1555729,80477,Infant/Toddler Facility,"[40.495693, -106.847365]"
1555888,80229,FCC/DC/CCC,"[39.864135, -104.96890800000001]"
1555916,80233,FCC/DC/CCC,"[39.893623, -104.93123200000001]"
1555937,80303,School-Age Facility,"[39.993281, -105.237489]"
1556034,80018,FCC/DC/CCC,"[39.640275, -104.734466]"
1556052,80012,Preschool Facility,"[39.680913000000004, -104.839937]"
1556055,80239,FCC/DC/CCC,"[39.779009, -104.81858000000001]"
1556378,80634,FCC/DC/CCC,"[40.388453000000005, -104.75490500000001]"
1556680,80465,FCC/DC/CCC,"[39.63142, -105.14681999999999]"
1556824,80478,FCC/DC/CCC,"[39.995207, -105.87226000000001]"
1556825,80477,FCC/DC/CCC,"[40.485195000000004, -106.830678]"
1556876,80923,FCC/DC/CCC,"[38.925523, -104.698853]"
1557115,80817,FCC/DC/CCC,"[38.692839, -104.681852]"
1557400,80907,FCC/DC/CCC,"[38.876609, -104.800011]"
1557442,80550,School-Age Facility,"[40.471740000000004, -104.881576]"
1557448,80537,School-Age Facility,"[40.398125, -105.07859599999999]"
1557453,80525,School-Age Facility,"[40.563404, -105.03031100000001]"
1557474,80128,FCC/DC/CCC,"[39.588547999999996, -105.08903899999999]"
1557489,80230,Preschool Facility,"[39.722296, -104.89793999999999]"
1557529,80816,School-Age Facility,"[38.923357, -105.232575]"
1557660,80238,School-Age Facility,"[39.751015, -104.89873500000002]"
1558032,80132,School-Age Facility,"[39.082611, -104.85906899999999]"
1558296,81625,FCC/DC/CCC,"[40.507023, -107.584065]"
1558304,80831,FCC/DC/CCC,"[38.926133, -104.57205]"
1558305,80537,Infant/Toddler Facility,"[40.380221, -105.139023]"
1558478,80443,School-Age Facility,"[39.574234000000004, -106.077679]"
1558480,80501,Preschool Facility,"[40.140453, -105.12693999999999]"
1558527,81503,FCC/DC/CCC,"[39.034106, -108.509823]"
1558690,80128,FCC/DC/CCC,"[39.573589, -105.06186100000001]"
1558859,80012,FCC/DC/CCC,"[39.695482, -104.86811499999999]"
1558996,80239,FCC/DC/CCC,"[39.794373, -104.799213]"
1559012,81647,FCC/DC/CCC,"[39.582989000000005, -107.537671]"
1559031,80235,School-Age Facility,"[39.651184, -105.10313000000001]"
1559056,80303,FCC/DC/CCC,"[40.003246000000004, -105.236674]"
1559068,80113,Infant/Toddler Facility,"[39.640085, -104.983915]"
1559315,80118,Preschool Facility,"[39.229601, -104.88513400000001]"
1559340,80863,FCC/DC/CCC,"[38.992069, -105.047172]"
1559396,81212,Preschool Facility,"[38.464642, -105.208593]"
1559467,80634,School-Age Facility,"[40.405333, -104.738697]"
1559488,81503,School-Age Facility,"[39.051472, -108.54741299999999]"
1559492,81435,School-Age Facility,"[37.941558, -107.81997]"
1559824,80910,FCC/DC/CCC,"[38.811042, -104.78644200000001]"
1559846,80516,FCC/DC/CCC,"[40.042459, -105.07273300000001]"
1559968,80513,Preschool Facility,"[40.308769, -105.086258]"
1560032,80907,FCC/DC/CCC,"[38.888915000000004, -104.847719]"
1560073,81623,FCC/DC/CCC,"[39.405701, -107.216902]"
1560250,80211,FCC/DC/CCC,"[39.778145, -105.003753]"
1560300,80212,School-Age Facility,"[39.781376, -105.051422]"
